time (s)	coil I (A)	last det (V)	int current (uC)
2518.095315	1.015887	0.492114	450.038147
2518.096212	0.655605	0.492114	1038.116211
2518.097202	0.100283	0.492114	1137.396606
2518.098105	0.097606	0.492114	1225.535034
2518.099010	0.097657	0.492114	1313.915039
2518.099896	0.097646	0.492114	1400.429810
2518.100830	0.097745	0.492114	1491.723999
2518.101730	0.097617	0.492114	1579.579468
2518.102627	0.097625	0.492114	1667.148682
2518.103559	0.097665	0.492114	1758.172241
2518.104458	0.097738	0.492114	1846.038696
2518.105366	0.097665	0.492114	1934.718262
2519.099599	1.008325	0.537545	444.671417
2519.100569	0.556179	0.537545	984.165161
2519.101491	0.100283	0.537545	1076.626221
2519.102385	0.097595	0.537545	1163.876343
2519.103315	0.097679	0.537545	1254.718262
2519.104215	0.097683	0.537545	1342.633057
2519.105123	0.097606	0.537545	1431.259521
2519.106013	0.097661	0.537545	1518.177979
2519.106945	0.097650	0.537545	1609.187866
2519.107849	0.097643	0.537545	1697.457031
2519.108748	0.097614	0.537545	1785.211548
2519.109638	0.097610	0.537545	1872.084351
2520.171479	1.019802	0.486723	460.950592
2520.172379	0.643337	0.486723	1039.954224
2520.173320	0.102173	0.486723	1136.098877
2520.174227	0.097584	0.486723	1224.607788
2520.175133	0.097646	0.486723	1313.075439
2520.176059	0.097606	0.486723	1403.458740
2520.176947	0.097555	0.486723	1490.087524
2520.177889	0.097614	0.486723	1582.039429
2520.178788	0.097646	0.486723	1669.823608
2520.179701	0.097668	0.486723	1758.994873
2520.180607	0.097657	0.486723	1847.472534
2520.181552	0.097610	0.486723	1939.713867
2521.166306	1.015964	0.543608	467.343567
2521.167255	0.567678	0.543608	1006.070190
2521.168171	0.100627	0.543608	1098.244873
2521.169059	0.097496	0.543608	1184.821655
2521.169999	0.097548	0.543608	1276.516357
2521.170897	0.097661	0.543608	1364.216064
2521.171800	0.097676	0.543608	1452.417236
2521.172689	0.097533	0.543608	1539.124023
2521.173618	0.097679	0.543608	1629.868164
