time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
4191.692556	9.147301	3.400486	2.689998	227
4192.703951	10.472694	3.402587	3.077863	228
4193.764582	9.313675	3.409334	2.731816	229
4194.765637	10.368149	3.413492	3.037403	230
4195.837896	9.191621	3.404183	2.700096	231
4196.838144	10.316104	3.418472	3.017753	232
4197.907377	9.050322	3.339555	2.710038	233
4198.908919	10.178120	3.395868	2.997207	234
4199.977404	9.306952	3.411897	2.727794	235
4200.981626	10.266866	3.398812	3.020722	236
4202.048767	9.443933	3.408354	2.770819	237
4203.055812	10.273166	3.380133	3.039278	238
4204.116748	9.241200	3.406359	2.712926	239
4205.128190	10.085032	3.408957	2.958392	240
4206.187234	9.493293	3.400913	2.791395	241
4207.200784	10.000660	3.409436	2.933230	242
4208.257613	9.615978	3.400275	2.828001	243
4209.271592	10.009302	3.403635	2.940768	244
4210.330466	9.714004	3.419030	2.841158	245
4211.340426	10.022805	3.412790	2.936836	246
4212.404997	9.588241	3.403087	2.817513	247
4213.409851	10.127172	3.408655	2.971017	248
4214.497988	4.532571	3.368898	1.345417	249
4215.487009	5.311012	3.402104	1.561096	250
4216.565636	4.250672	3.408196	1.247191	251
4217.560387	5.545753	3.401452	1.630408	252
4218.631440	4.402454	3.399096	1.295184	253
4219.639933	5.257694	3.405730	1.543779	254
4220.700029	4.815023	3.415389	1.409802	255
4221.701784	5.148625	3.366695	1.529282	0
4222.781526	4.657079	3.404906	1.367756	1
4223.771628	5.354864	3.404461	1.572896	2
4224.850701	4.363724	3.385557	1.288924	3
4225.840179	5.666046	3.353250	1.689718	4
4226.924714	4.194620	3.409482	1.230281	5
4227.917453	5.459413	3.399723	1.605840	6
4228.988596	4.264191	3.407717	1.251333	7
4229.988809	5.545787	3.403785	1.629300	8
4231.067094	4.453940	3.405208	1.307979	9
4232.061841	5.478531	3.404983	1.608975	10
4233.131008	4.441284	3.415864	1.300194	11
4234.135687	5.514132	3.408591	1.617716	12
4235.198524	4.340014	3.406111	1.274185	13
4236.203481	5.589966	3.416869	1.635991	14
4237.273733	4.402791	3.411575	1.290545	15
4238.272552	5.701763	3.410018	1.672062	16
4239.349723	4.230948	3.384324	1.250161	17
4240.341627	5.671768	3.388103	1.674025	18
4241.425354	4.286191	3.374198	1.270284	19
4242.408306	5.379271	3.368749	1.596816	20
4243.495879	4.661463	3.362691	1.386230	21
4244.484790	5.334863	3.377285	1.579631	22
4245.560164	4.765844	3.417881	1.394386	23
4246.563006	5.039266	3.403302	1.480699	24
4247.625275	4.937949	3.402259	1.451374	25
4248.636169	5.482973	3.408506	1.608615	26
4249.707972	4.418118	3.402245	1.298589	27
4250.708157	5.731532	3.414900	1.678389	28
4251.779920	4.467534	3.395008	1.315912	29
4252.766293	5.687740	3.408481	1.668702	30
4253.849978	4.699235	3.397431	1.383173	31
4254.841000	5.170768	3.406548	1.517891	32
4255.914006	5.029514	3.384156	1.486194	33
4256.921494	5.200038	3.352065	1.551294	34
4257.980134	4.707286	3.378247	1.393411	35
4258.988710	5.470158	3.407381	1.605385	36
4260.060026	4.357203	3.360420	1.296624	37
4261.056070	5.767415	3.404877	1.693869	38
4262.136132	4.227324	3.386304	1.248359	39
4263.121307	5.644865	3.417167	1.651914	40
4264.209791	4.619975	3.356183	1.376556	41
4265.194128	5.423916	3.407009	1.591987	42
4266.276665	4.785439	3.331053	1.436615	43
4267.269465	5.281783	3.399623	1.553638	44
4268.345037	4.955204	3.410604	1.452882	45
4269.342166	5.250067	3.371192	1.557332	46
4270.415147	5.021903	3.418437	1.469064	47
4271.414605	5.279725	3.398593	1.553503	48
4272.485980	4.937288	3.413280	1.446494	49
4273.487240	5.248646	3.409019	1.539635	50
4274.566061	5.062033	3.408438	1.485147	51
4275.556256	5.358152	3.418149	1.567560	52
4276.630360	4.951701	3.420319	1.447731	53
4277.624623	5.365423	3.407700	1.574500	54
4278.704780	4.882700	3.372629	1.447743	55
4279.695499	5.348776	3.400630	1.572878	56
4280.776547	4.756912	3.421256	1.390399	57
4281.764759	5.576705	3.369463	1.655072	58
4282.849481	4.575805	3.414079	1.340275	59
4283.838180	5.699599	3.408389	1.672227	60
4284.915875	4.607494	3.419159	1.347552	61
4285.914405	5.682144	3.390013	1.676142	62
4286.981276	4.688647	3.370990	1.390882	63
4287.988596	5.446589	3.403369	1.600352	64
4289.052597	5.089613	3.417849	1.489128	65
4290.058349	5.314878	3.411396	1.557978	66
4291.128971	5.102018	3.415207	1.493912	67
4292.123597	5.262552	3.352729	1.569633	68
4293.213650	4.934452	3.400738	1.450995	69
4294.192609	5.702306	3.412625	1.670944	70
4295.276325	4.619913	3.389268	1.363101	71
4296.266412	5.783825	3.364790	1.718926	72
4297.343661	4.588794	3.392674	1.352560	73
4298.343554	5.756831	3.405098	1.690651	74
4299.408302	4.842985	3.412651	1.419127	75
4300.415559	5.560781	3.399353	1.635835	76
4301.480036	5.033595	3.405671	1.478004	77
4302.487921	5.343274	3.408890	1.567453	78
4303.552664	5.076387	3.360062	1.510802	79
4304.557058	5.371250	3.406265	1.576874	80
4305.626802	5.214659	3.391388	1.537618	81
4306.625814	5.323603	3.356767	1.585932	82
4307.700423	5.097810	3.392881	1.502502	83
4308.695760	5.362281	3.394739	1.579586	84
4309.771637	5.146361	3.384014	1.520786	85
4310.765791	5.324229	3.397780	1.566973	86
4311.843253	5.241549	3.405413	1.539182	87
4312.838506	5.356363	3.354577	1.596733	88
4313.913206	5.156185	3.409859	1.512140	89
4314.910194	5.401389	3.411119	1.583466	90
4315.982804	5.275970	3.407802	1.548204	91
4316.984044	5.367200	3.422184	1.568356	92
4318.052337	5.330291	3.404297	1.565754	93
4319.057726	5.390509	3.358570	1.605001	94
4320.121773	5.218589	3.379050	1.544396	95
4321.129458	5.550684	3.416092	1.624864	96
4322.192232	5.077504	3.410053	1.488981	97
4323.200071	5.820868	3.387793	1.718189	98
4324.267545	4.794401	3.403980	1.408469	99
4325.266940	5.925198	3.360885	1.762988	100
4326.344370	4.658559	3.406085	1.367717	101
4327.334381	6.006553	3.403678	1.764724	102
4328.418509	4.947579	3.403111	1.453840	103
4329.403467	5.856091	3.396353	1.724229	104
4330.487625	5.161904	3.340886	1.545070	105
4331.478993	5.467515	3.397154	1.609440	106
4332.554164	5.333071	3.404961	1.566265	107
4333.555670	5.484188	3.401538	1.612267	108
4334.620387	5.334500	3.411126	1.563853	109
4335.628816	5.571978	3.368209	1.654285	110
4336.691593	5.144054	3.403222	1.511525	111
4337.699762	5.794825	3.367344	1.720889	112
4338.765430	4.971460	3.364576	1.477589	113
4339.768366	5.963367	3.375065	1.766890	114
4340.840848	4.876340	3.412144	1.429113	115
4341.836832	6.034067	3.401316	1.774039	116
4342.914531	4.848172	3.393310	1.428745	117
4343.906287	6.018466	3.401713	1.769246	118
4344.986587	4.913277	3.407053	1.442090	119
4345.976390	5.965503	3.398646	1.755259	120
4347.057173	4.872894	3.404994	1.431102	121
4348.047266	6.102122	3.411672	1.788602	122
4349.130058	4.991791	3.415619	1.461460	123
