crossing time (s)	slope (V/s)	crossing number
4191.518244	8.792419	3299
4192.520847	9.188832	3300
4193.589772	9.397218	3301
4194.591131	9.456538	3302
4195.663532	9.296378	3303
4196.663485	9.588553	3304
4197.733034	8.844107	3305
4198.734519	9.355777	3306
4199.802665	9.501068	3307
4200.807119	9.625615	3308
4201.874314	9.161639	3309
4202.881329	9.630036	3310
4203.942557	8.872433	3311
4204.953312	9.131442	3312
4206.013010	9.557906	3313
4207.026195	9.774336	3314
4208.083027	9.163120	3315
4209.097352	9.207703	3316
4210.156113	9.576862	3317
4211.165977	9.476061	3318
4212.230038	9.310611	3319
4213.235489	9.549230	3320
4214.323855	5.409462	3321
4215.311372	4.802330	3322
4216.393025	4.297983	3323
4217.386391	5.040883	3324
4218.457611	4.840779	3325
4219.464387	5.077425	3326
4220.527766	4.999085	3327
4221.529114	4.834758	3328
4222.606751	5.144302	3329
4223.596797	4.939469	3330
4224.679488	4.804789	3331
4225.666618	5.617215	3332
4226.750771	4.415886	3333
4227.743524	5.552908	3334
4228.817307	4.162325	3335
4229.815755	5.232605	3336
4230.885751	4.226390	3337
4231.888553	4.885778	3338
4232.956601	4.839303	3339
4233.962024	5.552004	3340
4235.027339	4.629160	3341
4236.030402	5.396969	3342
4237.100436	4.158896	3343
4238.099160	5.070489	3344
4239.176124	4.768718	3345
4240.167783	5.855906	3346
4241.251408	4.095017	3347
4242.235285	4.938361	3348
4243.322352	5.137546	3349
4244.309347	5.066183	3350
4245.388555	4.584108	3351
4246.388413	4.565404	3352
4247.453018	5.125056	3353
4248.461108	5.512917	3354
4249.527458	4.199990	3355
4250.526430	5.139081	3356
4251.606805	4.622931	3357
4252.591898	5.390107	3358
4253.677371	4.448909	3359
4254.667623	4.850740	3360
4255.740839	5.042995	3361
4256.746227	5.358736	3362
4257.808776	4.691965	3363
4258.815476	5.401848	3364
4259.885637	4.435833	3365
4260.882153	5.269412	3366
4261.963258	4.470348	3367
4262.948877	5.633602	3368
4264.035040	4.551596	3369
4265.020140	4.689807	3370
4266.103206	5.067441	3371
4267.095483	5.167462	3372
4268.171890	4.869076	3373
4269.168507	4.818358	3374
4270.241488	5.095917	3375
4271.241106	5.238908	3376
4272.313560	4.951186	3377
4273.312896	5.030889	3378
4274.383876	4.859684	3379
4275.382220	5.010747	3380
4276.456893	4.942229	3381
4277.451300	4.861085	3382
4278.530568	5.006071	3383
4279.520955	5.139879	3384
4280.604095	5.015349	3385
4281.590753	5.469629	3386
4282.676113	4.490208	3387
4283.663275	5.380712	3388
4284.743110	4.624715	3389
4285.740393	5.456481	3390
4286.808943	4.546845	3391
4287.814457	5.244208	3392
4288.878917	5.063481	3393
4289.884882	5.211383	3394
4290.954691	4.899407	3395
4291.950449	5.079604	3396
4293.030732	5.099877	3397
4294.019059	5.311058	3398
4295.102873	4.762784	3399
4296.092208	5.637300	3400
4297.170131	4.618772	3401
4298.168973	5.522692	3402
4299.235832	4.768687	3403
4300.241892	5.478062	3404
4301.306132	4.831240	3405
4302.313975	5.065590	3406
4303.379299	5.166704	3407
4304.382911	4.986123	3408
4305.452429	5.168373	3409
4306.451688	5.210655	3410
4307.526597	5.107382	3411
4308.521701	5.096830	3412
4309.598210	4.898038	3413
4310.592120	5.387285	3414
4311.669245	5.201004	3415
4312.663720	4.922864	3416
4313.740912	4.962295	3417
4314.736255	5.092865	3418
4315.810216	5.100658	3419
4316.810209	5.145110	3420
4317.878764	5.155134	3421
4318.883590	5.296616	3422
4319.947701	5.028569	3423
4320.956525	5.360658	3424
4322.018908	5.004626	3425
4323.026383	5.592782	3426
4324.094107	4.790676	3427
4325.093720	5.594500	3428
4326.170947	4.769515	3429
4327.160719	5.670209	3430
4328.244695	4.943974	3431
4329.229254	5.511047	3432
4330.313804	5.117143	3433
4331.304994	5.143547	3434
4332.380197	5.280937	3435
4333.381083	5.361915	3436
4334.447375	5.251616	3437
4335.455739	5.470499	3438
4336.518324	5.155777	3439
4337.525387	5.501956	3440
4338.591913	4.798395	3441
4339.594014	5.659340	3442
4340.667503	4.934629	3443
4341.662540	5.791167	3444
4342.740992	4.828044	3445
4343.731995	5.608171	3446
4344.813687	5.038042	3447
4345.802132	5.703917	3448
4346.884924	4.833913	3449
4347.873072	5.640580	3450
4348.956446	4.927994	3451
4349.944716	5.728117	3452
4351.027686	5.036340	3453
4352.016549	5.691831	3454
4353.098449	5.005349	3455
4354.088060	5.788315	3456
4355.168127	4.943296	3457
4356.161679	5.743537	3458
4357.236233	4.938890	3459
4358.235124	5.790125	3460
4359.304335	5.112938	3461
4360.309355	5.760466	3462
4361.373968	5.360391	3463
4362.382144	5.522099	3464
4363.445160	5.388629	3465
4364.452011	5.483207	3466
4365.518461	5.374768	3467
4366.519323	5.436708	3468
4367.594191	5.291385	3469
4368.587015	5.496413	3470
4369.668480	5.200594	3471
4370.656508	5.578357	3472
4371.740746	5.365672	3473
4372.729130	5.739303	3474
4373.810664	5.117687	3475
4374.803383	5.917242	3476
4375.878091	5.061871	3477
4376.877647	5.852176	3478
4377.946099	5.199599	3479
4378.950286	5.929110	3480
4380.015127	5.197298	3481
4381.023676	5.721875	3482
4382.086310	5.295892	3483
4383.095529	5.614947	3484
4384.157503	5.454970	3485
4385.166308	5.676608	3486
4386.229183	5.362086	3487
4387.238057	5.877845	3488
4388.299435	5.363834	3489
4389.309847	5.819628	3490
4390.371170	5.443958	3491
4391.380216	5.770371	3492
4392.443480	5.456320	3493
4393.450425	5.853271	3494
4394.516153	5.230287	3495
4395.519721	5.907493	3496
4396.590509	5.245036	3497
4397.588890	5.964101	3498
4398.664984	5.120727	3499
4399.656838	6.013991	3500
4400.739249	5.237024	3501
4401.726756	5.788632	3502
4402.811264	5.388011	3503
4403.797811	5.747323	3504
4404.881105	5.486198	3505
4405.871040	5.727408	3506
4406.948218	5.598271	3507
4407.946866	5.510704	3508
4409.016114	5.629438	3509
4410.021084	5.721565	3510
4411.085196	5.648248	3511
4412.094085	5.835979	3512
4413.155964	5.586493	3513
4414.164653	5.798859	3514
4415.228318	5.383948	3515
4416.234774	5.912968	3516
4417.300615	5.317804	3517
4418.304854	5.976609	3518
4419.373725	5.293149	3519
4420.375548	6.185119	3520
4421.446520	5.299972	3521
4422.446264	6.007866	3522
4423.518449	5.365306	3523
4424.516595	6.171822	3524
4425.588641	5.385716	3525
4426.589195	6.070252	3526
4427.659802	5.411809	3527
4428.661372	6.036723	3528
4429.729278	5.454070	3529
4430.734261	5.984388	3530
4431.798757	5.441971	3531
4432.806399	6.034801	3532
4433.869452	5.605982	3533
4434.878610	5.947974	3534
4435.940381	5.836559	3535
4436.949933	5.672461	3536
4438.013955	5.725890	3537
4439.018750	5.667979	3538
4440.087181	5.676241	3539
4441.087025	5.837422	3540
4442.162343	5.672251	3541
4443.155225	5.900120	3542
4444.234947	5.593561	3543
4445.225149	5.981581	3544
4446.307873	5.636980	3545
4447.296693	5.907043	3546
4448.379343	5.640561	3547
4449.368925	6.187531	3548
4450.449612	5.487820	3549
4451.442491	6.230121	3550
4452.518238	5.399857	3551
4453.515601	6.114427	3552
4454.587234	5.529414	3553
4455.588235	6.208543	3554
4456.657112	5.489121	3555
4457.660933	6.082636	3556
4458.727966	5.666073	3557
4459.732623	6.170207	3558
4460.799360	5.587580	3559
4461.803627	6.162363	3560
4462.870059	5.550332	3561
4463.874568	6.192092	3562
4464.942334	5.607282	3563
4465.945690	6.176214	3564
4467.015992	5.502238	3565
4468.016152	6.279835	3566
4469.088296	5.586489	3567
4470.085253	6.172268	3568
4471.162183	5.575823	3569
4472.154292	6.128108	3570
4473.235159	5.571798	3571
4474.224306	6.185230	3572
4475.306990	5.795340	3573
4476.294724	6.100175	3574
4477.378119	5.860191	3575
4478.366851	5.920724	3576
4479.448034	5.975464	3577
4480.440122	6.029090	3578
4481.516544	5.979827	3579
4482.515191	5.851319	3580
4483.585270	5.938698	3581
4484.588668	5.810061	3582
4485.654022	6.060002	3583
4486.662422	6.073770	3584
4487.723844	6.002599	3585
4488.734250	6.170130	3586
4489.795795	6.127365	3587
4490.804814	6.221119	3588
4491.867588	5.936574	3589
4492.875846	6.251626	3590
4493.938691	5.825076	3591
4494.947112	6.209228	3592
4496.010244	5.954176	3593
