time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
4684.750655	216.091415	0.821368	0.036596	151
4686.820162	216.105118	0.823241	0.036621	153
4688.892378	216.076004	0.822267	0.036760	155
4690.964761	216.043625	0.820198	0.037295	157
4693.033905	216.037231	0.820178	0.037504	159
4695.107166	216.033585	0.820331	0.037706	161
4697.179370	215.991928	0.820179	0.038421	163
4699.249261	215.964203	0.821261	0.038495	165
4701.321958	215.994156	0.819162	0.038618	167
4703.393397	215.991943	0.819534	0.039112	169
4705.463802	215.985657	0.819224	0.039431	171
4707.536394	215.982239	0.818387	0.039565	173
4709.607302	216.007614	0.818365	0.039782	175
4711.677830	216.001495	0.816811	0.040147	177
4713.750228	216.011749	0.815016	0.040341	179
4715.820631	216.094910	0.814659	0.040383	181
4717.891589	216.083313	0.814415	0.040965	183
4719.963692	216.110886	0.813860	0.041045	185
4722.034297	216.172012	0.814442	0.041335	187
4724.105236	216.126953	0.814855	0.041713	189
4726.177310	216.162476	0.814641	0.042029	191
4728.248269	216.161606	0.814310	0.042213	193
4730.318922	216.155396	0.813314	0.042567	195
4732.390644	216.157349	0.812974	0.042907	197
4734.461725	216.190826	0.812680	0.043278	199
4736.532233	216.219849	0.812311	0.043787	201
4738.603578	216.186829	0.811186	0.043815	203
4740.674755	216.199188	0.810201	0.044049	205
4742.745194	216.256607	0.808414	0.044104	207
4744.816191	216.288254	0.806589	0.044510	209
4746.887736	216.345230	0.805891	0.044638	211
4748.958305	216.357544	0.805687	0.045133	213
4751.029102	216.369049	0.805035	0.045321	215
4753.100803	216.401291	0.804201	0.045672	217
4755.171822	216.377029	0.803600	0.045953	219
4757.242776	216.417053	0.802946	0.046153	221
4759.314968	216.402390	0.802326	0.046341	223
4761.386045	216.397034	0.802532	0.046754	225
4763.457331	216.370499	0.802770	0.047057	227
4765.529501	216.355133	0.801958	0.047468	229
4767.600707	216.373505	0.801723	0.047871	231
4769.671964	216.326492	0.802083	0.048116	233
4771.743931	216.326950	0.801307	0.048354	235
4773.815243	216.308838	0.800955	0.048438	237
4775.886296	216.322617	0.799830	0.048788	239
4777.958070	216.335632	0.800405	0.049171	241
4780.029240	216.366043	0.800005	0.049424	243
4782.100573	216.366333	0.799682	0.049754	245
4784.172038	216.417892	0.798635	0.049888	247
4786.243039	216.424103	0.797454	0.050193	249
4788.314366	216.443192	0.796470	0.050457	251
4790.385868	216.443481	0.796187	0.050827	253
4792.456903	216.487289	0.795232	0.051064	255
4794.528037	216.454468	0.795400	0.051234	1
4796.599568	216.507706	0.794829	0.051455	3
4798.670679	216.543289	0.793388	0.051657	5
4800.741699	216.504364	0.792260	0.052052	7
4802.813055	216.531754	0.791064	0.051916	9
4804.884028	216.550339	0.790558	0.052198	11
4806.954817	216.579559	0.790644	0.052661	13
4809.026063	216.589111	0.790102	0.052729	15
4811.097209	216.619980	0.790628	0.053244	17
